Vi (V),Vd (V),±,Id (mA),±
0.20,-0.210,0.000,0.0000,0.0020
0.40,-0.402,0.002,0.0000,0.0020
0.60,-0.610,0.003,0.0000,0.0020
0.80,-0.810,0.005,0.0000,0.0020
1.00,-1.006,0.007,0.0000,0.0020
1.20,-1.210,0.009,0.0000,0.0020
1.40,-1.410,0.011,0.0000,0.0020
1.60,-1.619,0.013,0.0000,0.0020
1.80,-1.815,0.014,0.0000,0.0020
2.00,-2.020,0.016,0.0000,0.0020
2.20,-2.215,0.018,0.0000,0.0020
2.40,-2.415,0.020,0.0000,0.0020
2.60,-2.610,0.021,0.0000,0.0020
2.80,-2.819,0.023,0.0000,0.0020
3.00,-3.018,0.025,0.0003,0.0020
3.20,-3.209,0.027,0.0003,0.0020
3.40,-3.427,0.029,0.0003,0.0020
3.60,-3.618,0.031,0.0000,0.0020
3.80,-3.822,0.032,0.0000,0.0020
4.00,-4.014,0.034,0.0000,0.0020
4.20,-4.22,0.02,0.0005,0.0020
4.40,-4.42,0.02,0.0004,0.0020
4.60,-4.62,0.02,0.0004,0.0020
4.80,-4.81,0.02,0.0004,0.0020
5.00,-5.02,0.03,0.0004,0.0020
5.20,-5.23,0.03,0.0004,0.0020
5.40,-5.41,0.03,0.0004,0.0020
5.60,-5.63,0.03,0.0000,0.0020
5.80,-5.81,0.03,0.0000,0.0020
6.00,-6.03,0.03,0.0003,0.0020
6.20,-6.21,0.04,0.0005,0.0020
6.40,-6.44,0.04,0.0003,0.0020
6.60,-6.62,0.04,0.0006,0.0020
6.80,-6.84,0.04,0.0002,0.0020
7.00,-7.02,0.04,0.0007,0.0020
7.20,-7.25,0.05,0.0005,0.0020
7.40,-7.42,0.05,0.0006,0.0020
7.60,-7.63,0.05,0.0006,0.0020
7.80,-7.82,0.05,0.0007,0.0020
8.00,-8.05,0.05,0.0006,0.0020
8.20,-8.22,0.05,0.0008,0.0020
8.40,-8.44,0.06,0.0008,0.0020
8.60,-8.66,0.06,0.0010,0.0020
8.80,-8.83,0.06,0.0007,0.0020
9.00,-9.04,0.06,0.0012,0.0020
9.20,-9.22,0.06,0.0010,0.0020
9.40,-9.45,0.07,0.0008,0.0020
9.60,-9.63,0.07,0.0008,0.0020
9.80,-9.85,0.07,0.0006,0.0020
10.00,-10.02,0.07,0.0009,0.0020
10.20,-10.25,0.07,0.0010,0.0020
10.40,-10.41,0.07,0.0009,0.0020
10.60,-10.66,0.08,0.0007,0.0020
10.80,-10.83,0.08,0.0010,0.0020
11.00,-11.06,0.08,0.0010,0.0020
11.20,-11.22,0.08,0.0010,0.0020
11.40,-11.46,0.08,0.0012,0.0020
11.60,-11.62,0.08,0.0010,0.0020
11.80,-11.81,0.09,0.0011,0.0020
12.00,-12.03,0.09,0.0010,0.0020
12.20,-12.27,0.09,0.0011,0.0020
12.40,-12.42,0.09,0.0012,0.0020
12.60,-12.66,0.09,0.0012,0.0020
12.80,-12.83,0.10,0.0011,0.0020
13.00,-13.07,0.10,0.0012,0.0020
13.20,-13.23,0.10,0.0012,0.0020
13.40,-13.46,0.10,0.0012,0.0020
13.60,-13.62,0.10,0.0012,0.0020
13.80,-13.87,0.10,0.0010,0.0020
14.00,-14.02,0.11,0.0013,0.0020
14.20,-14.27,0.11,0.0012,0.0020
14.40,-14.43,0.11,0.0014,0.0020
14.60,-14.66,0.11,0.0015,0.0020
14.80,-14.83,0.11,0.0014,0.0020
15.00,-15.07,0.12,0.0015,0.0020
19.74,-19.77,0.16,0.0020,0.0020
