Ia (mA),Va (V)
0.01,0.50
0.03,1.00
0.04,1.50
0.06,2.00
0.07,2.50
0.09,3.00
0.11,3.50
0.12,4.00
0.15,4.50
0.17,5.00
0.19,5.50
0.21,6.00
0.24,6.50
0.27,7.00
0.29,7.50
0.32,8.00
0.35,8.50
0.38,9.00
0.41,9.50
0.44,10.00
0.47,10.50
0.50,11.00
0.53,11.50
0.56,12.00
0.59,12.50
0.62,13.00
0.65,13.50
0.68,14.00
0.71,14.50
0.74,15.00
0.77,15.50
0.80,16.00
0.84,16.50
0.87,17.00
0.91,17.50
0.94,18.00
0.98,18.50
1.02,19.00
1.06,19.50
1.10,20.00
1.19,21.00
1.27,22.00
1.35,23.00
1.44,24.00
1.53,25.00
1.61,26.00
1.70,27.00
1.78,28.00
1.86,29.00
1.94,30.00
2.01,31.00
2.08,32.00
2.15,33.00
2.22,34.00
2.29,35.00
2.35,36.00
2.42,37.00
2.48,38.00
2.54,39.00
2.71,40.00
