Ia (mA),±,Va (V)
0.01,0.03,0.50
0.03,0.03,1.00
0.04,0.03,1.50
0.05,0.03,2.00
0.07,0.03,2.50
0.09,0.03,3.00
0.10,0.03,3.50
0.12,0.03,4.00
0.14,0.03,4.50
0.16,0.03,5.00
0.19,0.03,5.50
0.21,0.03,6.00
0.23,0.03,6.50
0.26,0.03,7.00
0.29,0.03,7.50
0.31,0.03,8.00
0.34,0.03,8.50
0.37,0.03,9.00
0.41,0.03,9.50
0.44,0.04,10.00
0.47,0.04,10.50
0.50,0.04,11.00
0.53,0.04,11.50
0.55,0.04,12.00
0.58,0.04,12.50
0.61,0.04,13.00
0.64,0.04,13.50
0.67,0.04,14.00
0.70,0.04,14.50
0.73,0.04,15.00
0.76,0.04,15.50
0.79,0.04,16.00
0.83,0.04,16.50
0.86,0.04,17.00
0.89,0.04,17.50
0.93,0.04,18.00
0.97,0.04,18.50
1.01,0.04,19.00
1.05,0.04,19.50
1.09,0.04,20.00
1.17,0.04,21.00
1.25,0.05,22.00
1.34,0.05,23.00
1.42,0.05,24.00
1.51,0.05,25.00
1.60,0.05,26.00
1.68,0.05,27.00
1.76,0.05,28.00
1.85,0.05,29.00
1.93,0.05,30.00
2.01,0.05,31.00
2.09,0.06,32.00
2.16,0.06,33.00
2.23,0.06,34.00
2.30,0.06,35.00
2.36,0.06,36.00
2.39,0.06,37.00
2.44,0.06,38.00
2.48,0.06,39.00
2.53,0.06,40.00
2.85,0.06,50.00
3.16,0.07,60.00
