lambda (nm),counts
179.631,-25.17
180.012,119.83
180.394,-74.17
180.775,-120.17
181.157,218.83
181.538,-70.17
0.182,408.83
182.301,-111.17
182.683,-66.17
183.064,-66.17
183.446,-199.17
183.827,-15.17
184.208,-212.17
0.185,-264.17
184.971,-288.17
185.352,-94.17
185.733,-229.17
186.115,-198.17
186.496,-186.17
186.877,-101.17
187.258,-130.17
187.639,-52.17
0.188,-127.17
188.401,-68.17
188.782,-41.17
189.163,-128.17
189.544,-255.17
189.925,-180.17
190.306,-140.17
190.686,-70.17
191.067,20.83
191.448,-182.17
191.829,-257.17
0.192,-205.17
0.193,489.83
192.971,-184.17
193.351,-64.17
193.732,-141.17
194.113,-34.17
194.493,-154.17
194.874,-238.17
195.254,350.83
195.635,-218.17
196.015,-178.17
196.396,-69.17
196.776,-227.17
197.156,-218.17
197.537,-225.17
197.917,-59.17
198.297,-239.17
198.677,-230.17
199.057,-221.17
199.438,-83.17
199.818,-250.17
200.198,-175.17
200.578,-50.17
200.958,-152.17
201.338,-218.17
201.718,-205.17
202.098,-125.17
202.478,89.83
202.858,-206.17
203.238,-275.17
203.618,-216.17
203.997,-269.17
204.377,-96.17
204.757,-120.17
205.137,-140.17
205.516,13.83
205.896,-205.17
206.276,-252.17
206.655,-145.17
207.035,-268.17
207.414,-79.17
207.794,-26.17
208.173,-190.17
208.553,-218.17
208.932,-243.17
209.312,-189.17
209.691,-193.17
0.210,-216.17
0.210,444.83
210.829,-311.17
211.208,-172.17
211.588,-189.17
211.967,-262.17
212.346,-200.17
212.725,-83.17
213.104,-151.17
213.483,-323.17
213.862,-139.17
214.241,-321.17
0.215,142.83
214.999,-268.17
215.378,11.83
215.757,-62.17
216.136,-209.17
216.515,-189.17
216.894,-221.17
217.272,-226.17
217.651,5.83
0.218,-195.17
218.409,-210.17
218.787,88.83
219.166,-314.17
219.545,-224.17
219.923,-143.17
220.302,-222.17
0.221,-196.17
221.059,-310.17
221.437,-234.17
221.816,-235.17
222.194,-197.17
222.572,-180.17
222.951,-223.17
223.329,-66.17
223.707,-163.17
224.085,-157.17
224.464,-214.17
224.842,-41.17
0.225,-224.17
225.598,-295.17
225.976,-303.17
226.354,-206.17
226.732,-263.17
0.227,-179.17
227.488,-185.17
227.866,-387.17
228.244,-138.17
228.622,-286.17
0.229,-112.17
229.378,-121.17
229.756,-237.17
230.133,-276.17
230.511,-335.17
230.889,-269.17
231.267,-299.17
231.644,-153.17
232.022,-282.17
232.399,-102.17
232.777,6.83
233.154,-255.17
233.532,-237.17
233.909,-192.17
234.287,-62.17
234.664,-92.17
235.042,-264.17
235.419,-326.17
235.796,-88.17
236.174,-224.17
236.551,-176.17
236.928,-333.17
237.305,-258.17
237.682,-213.17
0.238,-247.17
238.437,-158.17
238.814,-61.17
239.191,-201.17
239.568,-215.17
239.945,-189.17
240.322,-195.17
240.699,-199.17
241.076,-288.17
241.452,-233.17
241.829,-255.17
242.206,-116.17
242.583,38.83
0.243,-203.17
243.336,-78.17
243.713,182.83
0.244,-118.17
244.466,-275.17
244.843,-170.17
245.219,-228.17
245.596,-193.17
245.972,-198.17
246.349,-224.17
246.725,-284.17
247.102,-231.17
247.478,-274.17
247.855,-149.17
248.231,-250.17
248.607,-385.17
248.983,-212.17
0.249,689.83
249.736,-287.17
250.112,-361.17
250.488,-148.17
250.864,-251.17
0.251,-256.17
251.616,-237.17
251.992,-277.17
252.368,-251.17
252.744,-246.17
0.253,460.83
253.496,-241.17
253.872,352.83
254.248,-185.17
254.624,-255.17
254.999,-220.17
255.375,-154.17
255.751,-286.17
256.126,-255.17
256.502,-261.17
256.878,-258.17
257.253,-235.17
257.629,-328.17
258.004,-166.17
0.258,-232.17
258.755,-196.17
259.131,-324.17
259.506,-230.17
259.882,15.83
260.257,-275.17
260.632,-249.17
261.007,-225.17
261.383,-197.17
261.758,-257.17
262.133,-114.17
262.508,-331.17
262.883,-129.17
263.258,-80.17
263.633,-219.17
264.008,-252.17
264.383,-267.17
264.758,-43.17
265.133,-48.17
265.508,-176.17
265.883,-130.17
266.258,-223.17
266.633,-322.17
267.008,-215.17
267.382,-327.17
267.757,-175.17
268.132,-356.17
268.506,-106.17
268.881,-211.17
269.256,-301.17
0.270,-285.17
270.005,-288.17
270.379,-211.17
270.754,-133.17
271.128,-273.17
271.502,-246.17
271.877,-284.17
272.251,-298.17
272.626,-260.17
0.273,-220.17
273.374,-331.17
273.748,-262.17
274.122,-178.17
274.497,-321.17
274.871,-160.17
275.245,-265.17
275.619,-343.17
275.993,-159.17
276.367,-260.17
276.741,-201.17
277.115,-150.17
277.489,-258.17
277.863,-215.17
278.236,-257.17
0.279,-162.17
278.984,384.83
279.358,-282.17
279.732,-196.17
280.105,-263.17
280.479,-215.17
280.852,-226.17
281.226,-218.17
0.282,-204.17
281.973,-209.17
282.347,-266.17
0.283,-62.17
283.094,-227.17
283.467,-133.17
0.284,-241.17
284.214,-106.17
284.587,-272.17
0.285,-177.17
285.333,-207.17
285.707,-331.17
0.286,-157.17
286.453,-187.17
286.826,378.83
287.199,-136.17
287.572,-179.17
287.945,-227.17
288.318,-230.17
288.691,-49.17
