lambda (nm),counts,
179.631,-50.83,
180.012,145.17,
180.394,-51.83,
180.775,-280.83,
181.157,464.17,
181.538,-95.83,
0.182,670.17,
182.301,-144.83,
182.683,-114.83,
183.064,-105.83,
183.446,-344.83,
183.827,-89.83,
184.208,-388.83,
0.185,-463.83,
184.971,-549.83,
185.352,-285.83,
185.733,-382.83,
186.115,-432.83,
186.496,-308.83,
186.877,-104.83,
187.258,-205.83,
187.639,-23.83,
0.188,-277.83,
188.401,-209.83,
188.782,104.17,
189.163,-270.83,
189.544,-393.83,
189.925,-326.83,
190.306,-261.83,
190.686,-93.83,
191.067,-163.83,
191.448,-291.83,
191.829,-437.83,
0.192,-369.83,
0.193,715.17,
192.971,-375.83,
193.351,-147.83,
193.732,-267.83,
194.113,-120.83,
194.493,-300.83,
194.874,-312.83,
195.254,421.17,
195.635,-340.83,
196.015,-276.83,
196.396,-115.83,
196.776,-465.83,
197.156,-360.83,
197.537,-417.83,
197.917,-214.83,
198.297,-397.83,
198.677,-362.83,
199.057,-345.83,
199.438,-248.83,
199.818,-411.83,
200.198,-468.83,
200.578,-6.83,
200.958,-315.83,
201.338,-386.83,
201.718,-373.83,
202.098,-220.83,
202.478,108.17,
202.858,-377.83,
203.238,-444.83,
203.618,-393.83,
203.997,-433.83,
204.377,-95.83,
204.757,-247.83,
205.137,-221.83,
205.516,14.17,
205.896,-471.83,
206.276,-348.83,
206.655,-324.83,
207.035,-476.83,
207.414,-161.83,
207.794,-67.83,
208.173,-346.83,
208.553,-415.83,
208.932,-448.83,
209.312,-380.83,
209.691,-341.83,
0.210,-262.83,
0.210,644.17,
210.829,-559.83,
211.208,-246.83,
211.588,-382.83,
211.967,-434.83,
212.346,-255.83,
212.725,-202.83,
213.104,-208.83,
213.483,-586.83,
213.862,-306.83,
214.241,-507.83,
0.215,123.17,
214.999,-431.83,
215.378,27.17,
215.757,-90.83,
216.136,-382.83,
216.515,-286.83,
216.894,-397.83,
217.272,-410.83,
217.651,61.17,
0.218,-398.83,
218.409,-443.83,
218.787,34.17,
219.166,-577.83,
219.545,-398.83,
219.923,-244.83,
220.302,-464.83,
0.221,-222.83,
221.059,-439.83,
221.437,-427.83,
221.816,-377.83,
222.194,-351.83,
222.572,-378.83,
222.951,-372.83,
223.329,-177.83,
223.707,-344.83,
224.085,-292.83,
224.464,-308.83,
224.842,-141.83,
0.225,-298.83,
225.598,-509.83,
225.976,-491.83,
226.354,-414.83,
