lambda (nm),counts
179.631,-51.75
180.012,174.25
180.394,-95.75
180.775,-246.75
181.157,362.25
181.538,-87.75
0.182,664.25
182.301,-176.75
182.683,-39.75
183.064,-99.75
183.446,-320.75
183.827,-81.75
184.208,-409.75
0.185,-408.75
184.971,-457.75
185.352,-233.75
185.733,-322.75
186.115,-386.75
186.496,-244.75
186.877,-144.75
187.258,-231.75
187.639,-70.75
0.188,-265.75
188.401,-213.75
188.782,49.25
189.163,-346.75
189.544,-416.75
189.925,-284.75
190.306,-242.75
190.686,-122.75
191.067,-106.75
191.448,-294.75
191.829,-400.75
0.192,-287.75
0.193,663.25
192.971,-318.75
193.351,-154.75
193.732,-277.75
194.113,-120.75
194.493,-269.75
194.874,-337.75
195.254,402.25
195.635,-332.75
196.015,-276.75
196.396,-48.75
196.776,-432.75
197.156,-338.75
197.537,-402.75
197.917,-125.75
198.297,-387.75
198.677,-393.75
199.057,-329.75
199.438,-251.75
199.818,-413.75
200.198,-403.75
200.578,-80.75
200.958,-309.75
201.338,-426.75
201.718,-340.75
202.098,-175.75
202.478,135.25
202.858,-392.75
203.238,-419.75
203.618,-347.75
203.997,-376.75
204.377,-148.75
204.757,-191.75
205.137,-282.75
205.516,16.25
205.896,-348.75
206.276,-324.75
206.655,-264.75
207.035,-493.75
207.414,-157.75
207.794,-92.75
208.173,-300.75
208.553,-405.75
208.932,-443.75
209.312,-343.75
209.691,-293.75
0.210,-233.75
0.210,553.25
210.829,-507.75
211.208,-218.75
211.588,-329.75
211.967,-471.75
212.346,-284.75
212.725,-149.75
213.104,-234.75
213.483,-557.75
213.862,-227.75
214.241,-478.75
0.215,170.25
214.999,-416.75
215.378,80.25
215.757,-39.75
216.136,-327.75
216.515,-321.75
216.894,-374.75
217.272,-400.75
217.651,24.25
0.218,-351.75
218.409,-317.75
218.787,28.25
219.166,-581.75
219.545,-368.75
219.923,-236.75
220.302,-397.75
0.221,-300.75
221.059,-466.75
221.437,-337.75
221.816,-293.75
222.194,-283.75
222.572,-328.75
222.951,-298.75
223.329,-190.75
223.707,-289.75
224.085,-281.75
224.464,-270.75
224.842,-126.75
0.225,-306.75
225.598,-438.75
225.976,-424.75
226.354,-435.75
226.732,-392.75
0.227,-267.75
227.488,-307.75
227.866,-590.75
228.244,-254.75
228.622,-382.75
0.229,-272.75
229.378,-180.75
229.756,-412.75
230.133,-381.75
230.511,-469.75
230.889,-472.75
231.267,-429.75
231.644,-311.75
232.022,-419.75
232.399,-176.75
232.777,-44.75
233.154,-379.75
233.532,-316.75
233.909,-338.75
234.287,-80.75
234.664,-104.75
235.042,-442.75
235.419,-549.75
235.796,-155.75
236.174,-379.75
236.551,-254.75
236.928,-545.75
237.305,-313.75
237.682,-418.75
0.238,-300.75
238.437,-262.75
238.814,-68.75
239.191,-344.75
239.568,-310.75
239.945,-298.75
240.322,-316.75
240.699,-295.75
241.076,-433.75
241.452,-425.75
241.829,-400.75
242.206,-205.75
242.583,20.25
0.243,-363.75
243.336,-111.75
243.713,311.25
0.244,-184.75
244.466,-404.75
244.843,-229.75
245.219,-335.75
245.596,-244.75
245.972,-348.75
246.349,-379.75
246.725,-477.75
247.102,-431.75
247.478,-460.75
247.855,-220.75
248.231,-383.75
248.607,-599.75
248.983,-312.75
0.249,910.25
249.736,-477.75
250.112,-502.75
250.488,-231.75
250.864,-370.75
0.251,-482.75
251.616,-368.75
251.992,-451.75
252.368,-446.75
252.744,-378.75
0.253,535.25
253.496,-352.75
253.872,487.25
254.248,-288.75
254.624,-384.75
254.999,-382.75
255.375,-211.75
255.751,-396.75
256.126,-387.75
256.502,-429.75
256.878,-456.75
257.253,-406.75
257.629,-501.75
258.004,-387.75
0.258,-264.75
258.755,-356.75
259.131,-458.75
259.506,-302.75
259.882,69.25
260.257,-417.75
260.632,-386.75
261.007,-443.75
261.383,-302.75
261.758,-445.75
262.133,-162.75
262.508,-511.75
262.883,-218.75
263.258,-182.75
263.633,-365.75
264.008,-414.75
264.383,-398.75
264.758,-74.75
265.133,-111.75
265.508,-298.75
265.883,-170.75
266.258,-397.75
266.633,-600.75
267.008,-358.75
267.382,-520.75
267.757,-336.75
268.132,-565.75
268.506,-284.75
268.881,-367.75
269.256,-475.75
0.270,-415.75
270.005,-478.75
270.379,-374.75
270.754,-171.75
271.128,-474.75
271.502,-392.75
271.877,-403.75
272.251,-421.75
272.626,-465.75
0.273,-323.75
273.374,-525.75
273.748,-295.75
274.122,-310.75
274.497,-598.75
274.871,-179.75
275.245,-392.75
275.619,-495.75
275.993,-291.75
276.367,-455.75
276.741,-289.75
277.115,-334.75
277.489,-326.75
277.863,-474.75
278.236,-444.75
0.279,-204.75
278.984,515.25
279.358,-424.75
279.732,-329.75
280.105,-423.75
280.479,-375.75
280.852,-423.75
281.226,-368.75
0.282,-292.75
281.973,-324.75
282.347,-437.75
0.283,-199.75
283.094,-311.75
283.467,-279.75
0.284,-368.75
284.214,-181.75
284.587,-379.75
0.285,-287.75
285.333,-330.75
285.707,-535.75
0.286,-252.75
286.453,-321.75
286.826,546.25
287.199,-157.75
287.572,-256.75
287.945,-305.75
288.318,-307.75
288.691,-197.75
289.064,-274.75
289.437,-458.75
0.290,-317.75
290.183,-288.75
290.556,-156.75
290.928,-358.75
291.301,-544.75
291.674,-587.75
292.046,-361.75
292.419,-110.75
292.792,-493.75
293.164,-367.75
293.537,-386.75
293.909,-481.75
294.282,-320.75
294.654,-228.75
295.027,-357.75
295.399,-522.75
295.771,-397.75
296.144,-336.75
296.516,-109.75
296.888,-97.75
297.261,374.25
297.633,-317.75
298.005,-271.75
298.377,320.25
298.749,-576.75
299.121,-364.75
299.493,-607.75
299.865,-458.75
300.237,-551.75
300.609,-239.75
300.981,-144.75
301.353,-292.75
301.725,-389.75
302.097,-285.75
302.468,-360.75
0.303,-352.75
303.212,-153.75
303.584,-382.75
303.955,-363.75
304.327,-328.75
304.698,-498.75
0.305,-312.75
305.442,-387.75
305.813,-197.75
306.184,-76.75
306.556,478.25
306.927,-439.75
307.299,-367.75
0.308,-412.75
308.041,-338.75
308.413,-347.75
308.784,-310.75
309.155,-382.75
309.526,-290.75
309.897,-398.75
310.268,-215.75
0.311,-415.75
311.011,-345.75
311.382,-167.75
311.753,-449.75
312.123,-335.75
312.494,-218.75
312.865,-472.75
313.236,-498.75
313.607,-360.75
313.978,-404.75
314.348,-368.75
314.719,-290.75
0.315,-339.75
315.461,-199.75
315.831,-174.75
316.202,-463.75
316.572,-418.75
316.943,-349.75
317.313,-135.75
317.684,-477.75
318.054,-580.75
318.425,-398.75
318.795,-423.75
319.165,-271.75
319.536,-191.75
319.906,-386.75
320.276,-444.75
320.646,-402.75
321.016,-383.75
321.387,-331.75
321.757,-256.75
322.127,-413.75
322.497,-427.75
322.867,-297.75
323.237,-548.75
323.607,-289.75
323.977,-309.75
324.346,-415.75
324.716,-422.75
325.086,-533.75
325.456,-362.75
325.826,-498.75
326.195,-206.75
326.565,-260.75
326.935,-261.75
327.304,-351.75
327.674,-392.75
328.043,-295.75
328.413,-374.75
328.782,-123.75
329.152,-246.75
329.521,-511.75
329.891,-514.75
0.330,-326.75
330.629,-473.75
330.999,-406.75
331.368,-427.75
331.737,-276.75
332.106,-324.75
332.475,-345.75
332.845,-189.75
333.214,-308.75
333.583,-462.75
333.952,-19.75
334.321,-435.75
0.335,-384.75
335.059,-237.75
335.427,-388.75
335.796,-412.75
336.165,-583.75
336.534,-466.75
336.903,-477.75
337.271,-400.75
0.338,-119.75
338.009,-356.75
338.377,-150.75
338.746,-324.75
339.114,311.25
339.483,-54.75
339.852,-303.75
0.340,-372.75
340.588,-203.75
340.957,-384.75
341.325,-453.75
341.693,-188.75
342.062,-360.75
0.342,-453.75
342.798,-359.75
343.166,-245.75
343.535,-488.75
343.903,-334.75
344.271,-359.75
344.639,556.25
345.007,-180.75
345.375,-341.75
345.743,-426.75
346.111,-440.75
346.479,-341.75
346.847,-367.75
347.214,-453.75
347.582,-363.75
0.348,-324.75
348.318,-259.75
348.685,-336.75
349.053,-264.75
349.421,-320.75
349.788,-283.75
350.156,-306.75
350.523,-394.75
350.891,-446.75
351.258,-480.75
351.626,-378.75
351.993,-441.75
0.352,-486.75
352.728,-364.75
353.095,-397.75
353.462,-358.75
0.354,-539.75
354.197,-355.75
354.564,-195.75
354.931,-398.75
